"autef_status","autef_num","coordin_geo"
"Título Vencido em: 02/02/2011","AUTEF Nº: 1000/2010","DATUM: SAD69 - HEMISFERIO: Sul - N: -48:06:01,00 - E: -03:47:32,00"
"Título Vencido em: 02/03/2011","AUTEF Nº: 1001/2010","DATUM: SAD69 - HEMISFERIO: Sul - N: -54:50:20,50 - E: -03:25:23,89"
"Motivo de cancelamento: Cancelado por falha na elaboração","AUTEF Nº: 1002/2010","DATUM: SAD69 - HEMISFERIO: Sul - N: -48:36:46,00 - E: -04:28:59,00"
"Título Vencido em: 26/03/2011","AUTEF Nº: 1003/2010","DATUM: SAD69 - E: 9385611 - N: 475831"
"Título Vencido em: 06/05/2011","AUTEF Nº: 1004/2010","DATUM: SAD69 - HEMISFERIO: Sul - N: -55:09:28,93 - E: -04:07:10,91"
"Título Vencido em: 26/03/2011","AUTEF Nº: 1005/2010","DATUM: SAD69 - HEMISFERIO: Sul - N: -48:36:46,00 - E: -04:28:59,00"
"Título Vencido em: 26/03/2011","AUTEF Nº: 1006/2010","DATUM: SAD69 - E: 9385656 - N: 488086"
"Motivo de cancelamento: Cancelado por falha na elaboração","AUTEF Nº: 1007/2010","DATUM: SAD69 - HEMISFERIO: Sul - N: -49:16:32,95 - E: -04:49:54,15"
"Título Vencido em: 09/04/2011","AUTEF Nº: 1008/2010","DATUM: SAD69 - HEMISFERIO: Sul - N: -48:36:38,18 - E: -05:03:04,95"
"Título Vencido em: 16/04/2011","AUTEF Nº: 1009/2010","DATUM: SAD69 - E: 9431639,25 - N: 630190,799"
"Título Vencido em: 18/07/2008","AUTEF Nº: 100/2007","DATUM: SAD69 - S: -03:08:08,60 - W: -48:32:09,50"
"Título Vencido em: 16/04/2011","AUTEF Nº: 1010/2010","DATUM: SAD69 - HEMISFERIO: Sul - N: -48:07:35,24 - E: -04:28:44,80"
